"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "Vue", "XML", "Python", "CSS", "comment", "blank", "total"
"d:\data\tt\myweb\expression\src\views\Tools\Cotton.vue", "Vue", 0, 0, 0, 0, 908, 0, 0, 0, 196, 57, 1161
"d:\data\tt\myweb\expression\src\views\Tools\ExpMH63.vue", "Vue", 0, 0, 0, 0, 780, 0, 0, 0, 217, 53, 1050
"d:\data\tt\myweb\expression\src\views\Tools\ExpPDI.vue", "Vue", 0, 0, 0, 0, 763, 0, 0, 0, 74, 50, 887
"d:\data\tt\myweb\expression\src\views\Tools\ExpPPI.vue", "Vue", 0, 0, 0, 0, 847, 0, 0, 0, 189, 62, 1098
"d:\data\tt\myweb\expression\src\views\Tools\ExpZS97.vue", "Vue", 0, 0, 0, 0, 842, 0, 0, 0, 233, 63, 1138
"d:\data\tt\myweb\expression\src\views\Tools\Index.vue", "Vue", 0, 0, 0, 0, 165, 0, 0, 0, 128, 10, 303
"d:\data\tt\myweb\expression\src\views\Tools\Methylation.vue", "Vue", 0, 0, 0, 0, 198, 0, 0, 0, 15, 13, 226
"d:\data\tt\myweb\expression\src\views\Tools\PPI_SHOOT1.vue", "Vue", 0, 0, 0, 0, 210, 0, 0, 0, 22, 14, 246
"d:\data\tt\myweb\expression\src\views\Tools\Wheat.vue", "Vue", 0, 0, 0, 0, 787, 0, 0, 0, 219, 58, 1064
"d:\data\tt\myweb\expression\src\views\Tools\indexShui.vue", "Vue", 0, 0, 0, 0, 101, 0, 0, 0, 7, 10, 118
"d:\data\tt\myweb\expression\src\views\Tutorial.vue", "Vue", 0, 0, 0, 0, 2066, 0, 0, 0, 836, 17, 2919
"Total", "-", 241, 12, 28936, 1165, 10076, 4, 405, 13691, 3804, 2418, 60752
